c_Pnome_jogador,c_Unome_jogador,n_camisa,d_data_nascimento,c_posicao,c_nome_time
Mateo,Ponte,4.0,,Zagueiro,Botafogo-Rj
Mateus,Carvalho,85.0,,Meio-Campo,Vasco
Rubens,,44.0,21/6/2001,Meio-Campo,Atletico-Mg
Matias,Zaracho,15.0,10/3/1998,Atacante,Atletico-Mg
Luiz,Henrique,7.0,18/3/1999,Meio-Campo,Botafogo-Rj
Matheus,Mendes,31.0,10/3/1999,Goleiro,Atletico-Mg
Igor,Rabello,16.0,28/4/1995,Zagueiro,Atletico-Mg
Evertton,Araujo,52.0,,Meio-Campo,Flamengo
Lucas,Mineiro,30.0,9/2/1999,Meio-Campo,Cuiaba
Fabricio,Bruno,15.0,12/2/1996,Zagueiro,Flamengo
Joao,Lucas,2.0,9/3/1998,Zagueiro,Juventude
Ewerthon,Silva,14.0,,Zagueiro,Juventude
Pepe,,23.0,6/1/1998,Meio-Campo,Gremio
Pedro,Geromel,3.0,,Zagueiro,Gremio
Luis,Mandaca,44.0,,Meio-Campo,Juventude
Jadson,,16.0,30/8/1993,Meio-Campo,Juventude
Diego,Costa,19.0,21/7/1999,Atacante,Gremio
Gilberto,Junior,2.0,,Zagueiro,Bahia
Lepu,,97.0,,Zagueiro,Vitoria
Yannick,Bolasie,11.0,,Atacante,Criciuma
Claudinho,,27.0,18/11/2000,Zagueiro,Criciuma
Jose,Hurtado,34.0,23/12/2001,Zagueiro,Bragantino
Sabino,,35.0,25/10/1996,Zagueiro,Sao Paulo
Alisson,Castro,25.0,,Meio-Campo,Sao Paulo
Eduardo,Santos,3.0,,Zagueiro,Bragantino
Shaylon,,10.0,28/4/1997,Meio-Campo,Atletico-Go
Adriano,Martins,3.0,,Zagueiro,Atletico-Go
Leonardo,Godoy,29.0,,Zagueiro,Athletico-Pr
Lucas,Borges,16.0,,Meio-Campo,Cruzeiro
Memphis,Depay,94.0,,Atacante,Corinthians
Ramiro,,17.0,22/5/1993,Meio-Campo,Cruzeiro
Nikao,,11.0,29/7/1992,Meio-Campo,Athletico-Pr
Gustavo,Scarpa,6.0,5/1/1994,Meio-Campo,Atletico-Mg
Pablo,Teixeira,92.0,,Atacante,Athletico-Pr
Erick,Carvalho,26.0,,Meio-Campo,Athletico-Pr
Julimar,,20.0,25/1/2001,Meio-Campo,Athletico-Pr
Lucas,Moura,7.0,,Meio-Campo,Sao Paulo
Felipinho,,23.0,7/1/1998,Meio-Campo,Athletico-Pr
Lucas,Belezi,45.0,8/5/2003,Zagueiro,Athletico-Pr
Arthur,Cruz,45.0,,Atacante,Criciuma
Miguel,Trauco,14.0,,Zagueiro,Criciuma
Kaio,Jorge,9.0,,Atacante,Cruzeiro
Wilker,Angel,4.0,,Zagueiro,Criciuma
Matheus,Rossetto,16.0,,Meio-Campo,Fortaleza
Lincoln,Santos,10.0,,Meio-Campo,Bragantino
Raul,,23.0,11/7/1996,Meio-Campo,Bragantino
Matias,Lacava,7.0,,Meio-Campo,Atletico-Go
Kanu,,4.0,7/3/1997,Zagueiro,Bahia
Gabriel,Taliari,19.0,13/4/1997,Atacante,Juventude
Fagner,,23.0,11/6/1989,Zagueiro,Corinthians
Raul,Caceres,27.0,18/9/1991,Zagueiro,Vitoria
Luan,Santos,8.0,,Meio-Campo,Vitoria
Everaldo,,37.0,28/5/1994,Atacante,Vitoria
Denilson,,27.0,23/3/2001,Meio-Campo,Cuiaba
Gabriel,,44.0,27/9/1992,Zagueiro,Cuiaba
Derik,Lacerda,22.0,,Meio-Campo,Cuiaba
Mathias,Villasanti,20.0,24/1/1997,Meio-Campo,Gremio
Murilo,Cerqueira,26.0,,Zagueiro,Palmeiras
Estevao,,41.0,3/2/2002,Meio-Campo,Palmeiras
Richard,Rios,27.0,2/6/2000,Meio-Campo,Palmeiras
Bruno,Gomes,15.0,4/4/2001,Zagueiro,Internacional
Vitao,,44.0,2/2/2000,Zagueiro,Internacional
David,Luiz,23.0,22/4/1987,Zagueiro,Flamengo
Allan,,29.0,3/3/1997,Meio-Campo,Flamengo
Agustin,Rossi,1.0,,Goleiro,Flamengo
Lucas,Villalba,25.0,,Zagueiro,Cruzeiro
Gonzalo,Plata,45.0,,Meio-Campo,Flamengo
Alex,Silva,26.0,15/5/1994,Zagueiro,Flamengo
Otavio,Santos,5.0,,Meio-Campo,Atletico-Mg
Magno,Silva,2.0,,Zagueiro,Atletico-Go
Marcos,Antonio,20.0,28/10/1999,Meio-Campo,Sao Paulo
Felipe,Vizeu,9.0,,Atacante,Criciuma
Jonathan,Lemos,13.0,,Zagueiro,Criciuma
Joao,Victor,38.0,25/2/1999,Zagueiro,Vasco
Gabriel,Menino,25.0,29/9/2000,Meio-Campo,Palmeiras
Hugo,,46.0,20/9/2001,Meio-Campo,Corinthians
Anibal,Moreno,5.0,,Meio-Campo,Palmeiras
